error               	    846  78   894  126
icon                	    0    0    130  130
logo                	    130  0    894  75
singleplayer        	    0    130  437  164
multiplayer         	    0    164  398  198
start               	    0    198  188  232
exit                	    0    232  130  266
controls            	    0    266  244  292
player1             	    0    292  192  313 
player2             	    0    313  192  332 
ws		    	    208  292  274  313
arrows		    	    208  313  256  332
information         	    130  232  510  266
back		    	    188  198  338  232
pause		    	    130  96   248  117
esc                 	    248  96   313  117
gameispaused	    	    312  96   656  120
continue	    	    398  166  705  201
launchball          	    274  292  849  310
esctopause          	    274  310  850  328
difficulty          	    0    332  342  364
easy                	    342  328  494  362
normal              	    494  328  720  362
hardcore            	    0    364  304  398
hacker              	    304  364  530  398
gamebyixnomad               0    398  553  430
playeronescoredagoal        415  430  818  447
playertwoscoredagoal        415  447  818  465
playeroneoutplaysplayertwo  0    481  452  498
playertwooutplaysplayerone  0    464  452  481
playeronehasbeenowned       0    430  414  447
playertwohasbeenowned       0    447  414  464
comeback                    453  465  742  496
#
